,release_date,movie,distributor,domestic_box_office_to_date,trailer
9719,2017-09-08,Home Again ,Open Road,27020284,Play
9720,2017-09-08,It ,Warner Bros.,328828874,Play
9721,2017-09-08,The 60 Yard Line ,Gravitas Ventures,, 
9722,2017-09-08,9/11 ,Atlas Distribution,172000, 
9723,2017-09-08,Anti-Matter ,Uncork'd Entertainment,, 
9724,2017-09-08,Boris Without Beatrice ,KimStim,, 
9725,2017-09-08,The Challenge ,Kino Lorber,11043, 
9726,2017-09-08,Company Town ,First Run Features,4934, 
9727,2017-09-08,Fallen ,Vertical Entertainment,, 
9728,2017-09-08,Fallen ,Gravitas Ventures,, 
9729,2017-09-08,The Unknown Girl ,IFC Films,150579, 
9730,2017-09-08,Free in Deed ,Gravitas Ventures,, 
9731,2017-09-08,The Good Catholic ,Broad Green Pictures,, 
9732,2017-09-08,Gun Shy ,Saban Films,, 
9733,2017-09-08,Napping Princess ,GKIDS,48198, 
9734,2017-09-08,The Limehouse Golem ,RLJ Entertainment,, 
9735,2017-09-08,Lipstick Under My Burka ,Star Synergy Entertainment,, 
9736,2017-09-08,The Man From Outer Space ,Indican Pictures,18709, 
9737,2017-09-08,Man in Red Bandana ,Verdi Productions,, 
9738,2017-09-08,Memoir of a Murderer ,Well Go USA,91335, 
9739,2017-09-08,Motherland ,The Film Collaborative ,, 
9740,2017-09-08,Nobodyâs Watching ,"Cinema Tropical, FIGA Films",, 
9741,2017-09-08,The Oath ,FilmBuff,, 
9742,2017-09-08,Paradise Club ,Indican Pictures,21923, 
9743,2017-09-08,Poster Boys ,Sony Pictures,97049, 
9744,2017-09-08,Rebel in the Rye ,IFC Films,378294, 
9745,2017-09-08,Rememory ,Lionsgate Premiere,, 
9746,2017-09-08,School Life ,Magnolia Pictures,37381, 
9747,2017-09-08,Second Nature ,Mirror Images Ltd,, 
9748,2017-09-08,Trophy ,The Orchard,21439, 
9749,2017-09-08,True to the Game ,Faith Media Distribution,, 
9750,2017-09-08,Twenty-Two ,China Lion Film Distribution,22222, 
9751,2017-09-08,Year by the Sea ,Real Women Make Waves,, 
9752,2017-09-09,"I Love You, Daddy ",,, 
9753,2017-09-11,September Morning ,Candy Factory Films,, 
9754,2017-09-12,May it Last: A Portrait of the Avett Brothers ,Oscilloscope Pictures,725286, 
9755,2017-09-12,Motivation 3: The Next Generation ,The Orchard,, 
9756,2017-09-13,Dayveon ,FilmRise,2077, 
9757,2017-09-14,The Heart of Man ,Fathom Events,, 
9758,2017-09-14,Lupin the Third: The Castle of Cagliostro ,Fathom Events,, 
9759,2017-09-15,American Assassin ,Lionsgate,36249674,Play
9760,2017-09-15,mother! ,Paramount Pictures,17800004,Play
9761,2017-09-15,Abracadabra ,Sony Pictures,13975, 
9762,2017-09-15,Against the Night ,Gravitas Ventures,, 
9763,2017-09-15,Alina ,Self Distributed,, 
9764,2017-09-15,Because of GrÃ¡cia ,ArtAffects,90388, 
9765,2017-09-15,Bradâs Status ,Annapurna Pictures,2133158,Play
9766,2017-09-15,Easy Living ,Gravitas Ventures,, 
9767,2017-09-15,Ex Libris: The New York Public Library ,Zipporah,163364, 
9768,2017-09-15,Extraordinary Ordinary People ,First Run Features,880, 
9769,2017-09-15,The Force ,Kino Lorber,58154, 
9770,2017-09-15,The Future Perfect ,MUBI,, 
9771,2017-09-15,In Search of Fellini ,AMBI,, 
9772,2017-09-15,Indivisible ,Self Distributed,, 
9773,2017-09-15,Infinity Baby ,Pacific Northwest Pictures,, 
9774,2017-09-15,Infinity Chamber ,XLrator Media,, 
9775,2017-09-15,Justice ,Universal,, 
9776,2017-09-15,Manolo: The Boy Who Made Shoes for Lizards ,Music Box Films,60056, 
9777,2017-09-15,No Maps on my Taps ,Milestone,, 
9778,2017-09-15,Rat Film ,Cinema Guild,35195, 
9779,2017-09-15,Red Trees ,Cohen Media Group,10012, 
9780,2017-09-15,Ryde ,Gravitas Ventures,, 
9781,2017-09-15,The Show ,Lionsgate,, 
9782,2017-09-15,Time to Die ,Film Movement,14278, 
9783,2017-09-15,Vengeance: A Love Story ,FilmRise,4526, 
9784,2017-09-15,The View From Here ,Indie Rights,, 
9785,2017-09-15,Wetlands ,Abramorama Films,, 
9786,2017-09-15,The Wilde Wedding ,Vertical Entertainment,, 
9787,2017-09-15,Woodpeckers ,Strand,, 
9788,2017-09-16,Rogue Elements ,,, 
9789,2017-09-17,The Akron Holy War ,Self Distributed,, 
9790,2017-09-19,#FromJennifer ,Sector 5 Films,, 
9791,2017-09-20,The Legend of 420 ,XLrator Media,, 
9792,2017-09-20,Thirst Street ,Samuel Goldwyn Films,, 
9793,2017-09-22,Friend Request ,Entertainment Studios Motion Pictures,3759078,Play
9794,2017-09-22,Kingsman: The Golden Circle ,20th Century Fox,100234838,Play
9795,2017-09-22,The Lego Ninjago Movie ,Warner Bros.,59281555,Play
9796,2017-09-22,Battle of the Sexes ,Fox Searchlight,12638526, 
9797,2017-09-22,Big Bear ,Blue Fox Entertainment,, 
9798,2017-09-22,Bobbi Jene ,Oscilloscope Pictures,18579, 
9799,2017-09-22,Elizabeth Blue ,Global Digital Releasing,, 
9800,2017-09-22,Happy Hunting ,Vertical Entertainment,, 
9801,2017-09-22,The Tag-Along 2 ,Crimson Forest Entertainment Group Inc. ,18870, 
9802,2017-09-22,The Houses October Built 2 ,RLJ Entertainment,, 
9803,2017-09-22,The Kingâs Choice ,Samuel Goldwyn Films,113231, 
9804,2017-09-22,Last Rampage ,Epic Pictures Group,6294, 
9805,2017-09-22,Loving Vincent ,Good Deed Entertainment,6735118, 
9806,2017-09-22,Ribbons ,Indican Pictures,26872, 
9807,2017-09-22,Saving Brinton ,Barn Owl,56220, 
9808,2017-09-22,Scareycrows ,Indie Rights,, 
9809,2017-09-22,Shot ,Paladin,4701, 
9810,2017-09-22,Stronger ,Roadside Attractions,4211129,Play
9811,2017-09-22,The Tiger Hunter ,Shout! Factory,62398, 
9812,2017-09-22,Unrest ,Shella Films,40081, 
9813,2017-09-22,Victoria and Abdul ,Focus Features,22245070,Play
9814,2017-09-22,Welcome to Willits: After Sundown ,IFC Midnight,, 
9815,2017-09-22,Woodshock ,A24,42469,Play
9816,2017-09-22,The Lego Ninjago Movie ,Warner Bros.,59281555,Play
9817,2017-09-24,NausicaÃ¤ of the Valley of the Wind ,GKIDS,, 
9818,2017-09-26,Lane 1974 ,The Orchard,, 
9819,2017-09-26,Jeepers Creepers 3 ,Fathom Events,2235162, 
9820,2017-09-27,Bugs ,Kino Lorber,3423, 
9821,2017-09-27,Clive Davis: The Soundtrack of Our Lives ,Abramorama Films,, 
9822,2017-09-27,I am Another You ,FilmRise,, 
9823,2017-09-27,Te Ata ,Paladin,73236, 
9824,2017-09-28,Steve McQueen: American Icon ,Fathom Events,, 
9825,2017-09-29,American Made ,Universal,51342000,Play
9826,2017-09-29,Flatliners ,Sony Pictures,16883115,Play
9827,2017-09-29,A Question of Faith ,Pure Flix Entertainment,2587072, 
9828,2017-09-29,Battle of the Sexes ,20th Century Fox,12638526, 
9829,2017-09-29,30-Love ,Cinedigm,, 
9830,2017-09-29,AlphaGo ,Obscured Pictures,, 
9831,2017-09-29,"Autumn, Autumn ",Bomnae Films,, 
9832,2017-09-29,Blood Stripe ,Tandem Pictures,, 
9833,2017-09-29,Chasing the Dragon ,Well Go USA,456854, 
9834,2017-09-29,Different Flowers ,Self Distributed,, 
9835,2017-09-29,Top Cat Begins ,Viva Entertainment,, 
9836,2017-09-29,Donât Sleep ,Freestyle Releasing,, 
9837,2017-09-29,Heartstone ,Breaking Glass Pictures,, 
9838,2017-09-29,Judwaa 2 ,FIP,1431255, 
9839,2017-09-29,"Literally, Right Before Aaron ",Screen Media Films,, 
9840,2017-09-29,Lucky ,Magnolia Pictures,955925, 
9841,2017-09-29,Mark Felt: The Man Who Brought Down the White House ,Sony Pictures Classics,768646,Play
9842,2017-09-29,Our Souls at Night ,Netflix,, 
9843,2017-09-29,The Pathological Optimist ,Film Arcade,6522, 
9844,2017-09-29,Pearl Jam: Letâs Play Two ,Abramorama Films,348832, 
9845,2017-09-29,Prosperity ,Well.Org,, 
9846,2017-09-29,Realive ,Syfy Films,, 
9847,2017-09-29,Signature Move ,Newcity,, 
9848,2017-09-29,The Sound ,Samuel Goldwyn Films,, 
9849,2017-09-29,Soy Nero ,Synergetic,, 
9850,2017-09-29,Stopping Traffic ,Gravitas Ventures,, 
9851,2017-09-29,Super Dark Times ,The Orchard,33109, 
9852,2017-09-29,Take Every Wave: The Life of Laird Hamilton ,IFC Films,176160, 
9853,2017-09-29,Tam Cam: The Untold Story ,Self Distributed,, 
9854,2017-09-29,Til Death Do Us Part ,Novus Content,3424454, 
9855,2017-09-29,Window Horses ,First Pond Entertainment,48105, 
9856,2017-09-29,American Made ,Universal,51342000,Play
9857,2017-10-03,Demon Hole ,Sony Pictures,, 
9858,2017-10-03,Mully ,Fathom Events,, 
9859,2017-10-04,Charged: The Eduardo Garcia Story ,Gathr Films,, 
9860,2017-10-04,Chavela ,Music Box Films,148666, 
9861,2017-10-04,Walking Out ,IFC Films,102394, 
9862,2017-10-06,Blade Runner 2049 ,Warner Bros.,92054159,Play
9863,2017-10-06,The Mountain Between Us ,20th Century Fox,30348555,Play
9864,2017-10-06,My Little Pony: The Movie ,Lionsgate,21885107,Play
9865,2017-10-06,The Stray ,Purdie Distribution,1579440, 
9866,2017-10-06,Victoria and Abdul ,Universal,22245070,Play
9867,2017-10-06,2307: Winterâs Dream ,Vertical Entertainment,, 
9868,2017-10-06,A*sholes ,Breaking Glass Pictures,, 
9869,2017-10-06,Abundant Acreage Available ,Gravitas Ventures,, 
9870,2017-10-06,Architects of Denial ,Dada Films,65424, 
9871,2017-10-06,Barracuda ,Samuel Goldwyn Films,, 
9872,2017-10-06,Bending the Arc ,Abramorama Films,21906, 
9873,2017-10-06,Better Watch Out ,Well Go USA,20369, 
9874,2017-10-06,Blackbird ,Eammon Films ,, 
9875,2017-10-06,Brawl in Cell Block 99 ,RLJ Entertainment,, 
9876,2017-10-06,Chef ,Eros Entertainment,, 
9877,2017-10-06,City of Rock ,Well Go USA,312537, 
9878,2017-10-06,Cold Moon ,Uncork'd Entertainment,, 
9879,2017-10-06,Dementia 13 ,Chiller Films,, 
9880,2017-10-06,Dina ,The Orchard,90491, 
9881,2017-10-06,Dog Park ,Self Distributed,, 
9882,2017-10-06,Earth: One Amazing Day ,Atlas Distribution,81345, 
9883,2017-10-06,"Faces, Places ",Cohen Media Group,952432, 
9884,2017-10-06,The Florida Project ,A24,5904366,Play
9885,2017-10-06,Generational Sins ,Freestyle Releasing,, 
9886,2017-10-06,Great Great Great ,A71 Entertainment,, 
9887,2017-10-06,The Fortress ,CJ Entertainment,138486, 
9888,2017-10-06,Overdrive ,Paramount Pictures,, 
9889,2017-10-06,Paradise ,Film Movement,14873, 
9890,2017-10-06,So B. It ,Good Deed Entertainment,46006, 
9891,2017-10-06,Take My Noseâ¦Please! ,Self Distributed,, 
9892,2017-10-06,The Osiris Child: Science Fiction Volume One ,RLJ Entertainment,, 
9893,2017-10-06,Trafficked ,Epic Pictures Group,13476, 
9894,2017-10-10,The Cadillac Tramps: Life on the Edge ,FilmBuff,, 
9895,2017-10-10,Patient Seventeen ,The Orchard,, 
9896,2017-10-10,Superpowerless ,First Pond Entertainment,, 
9897,2017-10-13,The Foreigner ,STX Entertainment,34393507,Play
9898,2017-10-13,Happy Death Day ,Universal,55683845,Play
9899,2017-10-13,Marshall ,Open Road,10051659,Play
9900,2017-10-13,Professor Marston & The Wonder Women ,Annapurna Pictures,1585362,Play
9901,2017-10-13,6 Below: Miracle on the Mountain ,Momentum Pictures,, 
9902,2017-10-13,78/52: Hitchcockâs Shower Scene ,IFC Films,37664, 
9903,2017-10-13,Alex & Eve ,K Street Pictures,, 
9904,2017-10-13,American Satan ,AMC Independent,226232, 
9905,2017-10-13,B&B ,Breaking Glass Pictures,, 
9906,2017-10-13,The Babysitter ,Netflix,, 
9907,2017-10-13,Bad Lucky Goat ,Film Movement,5088, 
9908,2017-10-13,Blood Money ,Saban Films,, 
9909,2017-10-13,Breathe ,Bleecker Street,489322,Play
9910,2017-10-13,Carving a Life ,Self Distributed,, 
9911,2017-10-13,The Departure ,Matson,24661, 
9912,2017-10-13,For Ahkeem ,Vitagraph Films,23136, 
9913,2017-10-13,Goodbye Christopher Robin ,Fox Searchlight,1735251,Play
9914,2017-10-13,Haze ,Gravitas Ventures,, 
9915,2017-10-13,How to Break up With Your Douchebag ,Tribe Releasing,, 
9916,2017-10-13,Human Flow ,Amazon Studios,527845, 
9917,2017-10-13,The Lost Tree ,Music Box Films,, 
9918,2017-10-13,M.F.A. ,Dark Sky Films,, 
9919,2017-10-13,The Man From Earth: Holocene ,Parade Deck Films,, 
9920,2017-10-13,Monogamish ,Abramorama Films,, 
9921,2017-10-13,Night of the Living Dead ,Janus Films,12087064, 
9922,2017-10-13,The Secret Scripture ,Vertical Entertainment,, 
9923,2017-10-13,Surviving Peace ,Self Distributed,, 
9924,2017-10-13,Swing Away ,Freestyle Releasing,, 
9925,2017-10-13,Thy Fatherâs Chair ,Self Distributed,, 
9926,2017-10-13,Tom of Finland ,Kino Lorber,378296, 
9927,2017-10-13,Wasted! The Story of Food Waste ,Super LTD,25865, 
9928,2017-10-15,The Garden of Allah ,United Artists,, 
9929,2017-10-18,The Paris Opera ,Film Movement,55482, 
9930,2017-10-19,1804: The Hidden History of Haiti ,King Flex Entertainment,, 
9931,2017-10-19,Secret Superstar ,Zee Studios,, 
9932,2017-10-20,Geostorm ,Warner Bros.,33700160,Play
9933,2017-10-20,Only the Brave ,Sony Pictures,18340051,Play
9934,2017-10-20,Same Kind of Different as Me ,Pure Flix Entertainment,6423605,Play
9935,2017-10-20,The Snowman ,Universal,6670765,Play
9936,2017-10-20,Tyler Perryâs Boo 2! A Madea Halloween ,Lionsgate,47319572,Play
9937,2017-10-20,Aidaâs Secrets ,Music Box Films,98468, 
9938,2017-10-20,The Bachelors ,Freestyle Releasing,, 
9939,2017-10-20,Bad Day for the Cut ,Well Go USA,, 
9940,2017-10-20,BPM ,The Orchard,125189, 
9941,2017-10-20,Dealt ,IFC Films,30414, 
9942,2017-10-20,Golmaal Again ,Reliance Entertainment,1013893, 
9943,2017-10-20,Heal ,Paladin,12668, 
9944,2017-10-20,Jane ,Abramorama Films,1723379, 
9945,2017-10-20,Jungle ,Momentum Pictures,, 
9946,2017-10-20,Killing Gunther ,Saban Films,, 
9947,2017-10-20,The Killing of a Sacred Deer ,A24,2291900, 
9948,2017-10-20,Leatherface ,Lionsgate,,Play
9949,2017-10-20,Let Her Out ,TriCoast Worldwide,, 
9950,2017-10-20,Maigret Sets a Trap ,Kino Lorber,7644, 
9951,2017-10-20,Never Here ,Vertical Entertainment,, 
9952,2017-10-20,Nightworld ,Gravitas Ventures,, 
9953,2017-10-20,RV: Resurrected Victims ,Well Go USA,20371, 
9954,2017-10-20,The Sacrifice ,Kino Lorber,69861, 
9955,2017-10-20,Tempestad ,Cinema Tropical,, 
9956,2017-10-20,Kills on Wheels ,Kino Lorber,15856, 
9957,2017-10-20,Tragedy Girls ,Gunpowder & Sky,61899, 
9958,2017-10-20,Wheelman ,Netflix,, 
9959,2017-10-20,Whereâs The Money ,Lionsgate,, 
9960,2017-10-20,Wonderstruck ,Roadside Attractions,1033632,Play
9961,2017-10-20,Geostorm ,Warner Bros.,33700160,Play
9962,2017-10-24,The Jade Pendant ,Crimson Forest Entertainment Group Inc. ,, 
9963,2017-10-25,Godâs Own Country ,Samuel Goldwyn Films,338027, 
9964,2017-10-25,The Work ,The Orchard,5853, 
9965,2017-10-27,Jigsaw ,Lionsgate,38052832,Play
9966,2017-10-27,Suburbicon ,Paramount Pictures,5775178,Play
9967,2017-10-27,Thank You for Your Service ,Universal,9479390,Play
9968,2017-10-27,Acts of Vengeance ,Saban Films,, 
9969,2017-10-27,All I See is You ,Open Road,217644, 
9970,2017-10-27,Atomic Homefront ,HBO Documentary Films,, 
9971,2017-10-27,Bill Nye: Science Guy ,PBS Distribution,74909, 
9972,2017-10-27,Brimstone & Glory ,Oscilloscope Pictures,32059, 
9973,2017-10-27,Bunker77 ,Submarine Deluxe,, 
9974,2017-10-27,Crash Pad ,Sony Pictures,, 
9975,2017-10-27,Daughter of the Nile ,Cohen Media Group,, 
9976,2017-10-27,Discovering Bigfoot ,Gravitas Ventures,, 
9977,2017-10-27,The Divine Order ,Kino Lorber,76277, 
9978,2017-10-27,FÃ©licitÃ© ,Strand,10695, 
9979,2017-10-27,Flesh and Blood ,Monument Releasing,, 
9980,2017-10-27,Halloween P*ssy Trap Kill! Kill! ,Cleopatra Films,, 
9981,2017-10-27,The Heyday of the Insensitive Bastards ,Cinedigm,, 
9982,2017-10-27,Let There Be Light ,Atlas Distribution,7233471, 
9983,2017-10-27,Mansfield 66/67 ,FilmBuff,17930, 
9984,2017-10-27,Maya Dardel ,Samuel Goldwyn Films,, 
9985,2017-10-27,Mr. Roosevelt ,Paladin,, 
9986,2017-10-27,Novitiate ,Sony Pictures Classics,580346,Play
9987,2017-10-27,The Square ,Magnolia Pictures,1502347, 
9988,2017-10-27,Suck It Up ,levelFILM,, 
9989,2017-10-27,The Truth About Lies ,Blue Fox Entertainment,, 
9990,2017-10-27,Wexford Plaza ,levelFILM,, 
9991,2017-10-27,Jigsaw ,Lionsgate,38052832,Play
9992,2017-10-28,Amityville: The Awakening ,Weinstein Co.,742, 
9993,2017-10-31,Amygdala Warrior ,Self Distributed,, 
9994,2017-10-31,Keep Watching ,Sony Pictures,94178,Play
9995,2017-11-01,A Bad Moms Christmas ,STX Entertainment,72110659,Play
9996,2017-11-01,1945 ,Menemsha Entertainment,1005719, 
9997,2017-11-01,Frank Serpico ,IFC Films,11925, 
9998,2017-11-01,The Light of the Moon ,Imagination Worldwide,, 
9999,2017-11-01,Revive Us 2 ,Fathom Events,, 
10000,2017-11-02,Iâll Push You ,Fathom Events,, 
10001,2017-11-03,LBJ ,Electric Entertainment,2468683, 
10002,2017-11-03,Thor: Ragnarok ,Walt Disney,315058289,Play
10003,2017-11-03,11/8/16 ,The Orchard,, 
10004,2017-11-03,Bad Grandmas ,Parade Deck Films,17688, 
10005,2017-11-03,Bad Match ,Orion Pictures,, 
10006,2017-11-03,Battlecreek ,Hannover House,, 
10007,2017-11-03,Blade of the Immortal ,Magnolia Pictures,150532, 
10008,2017-11-03,Dream Boat ,Strand,2199, 
10009,2017-11-03,Gilbert ,Gravitas Ventures,, 
10010,2017-11-03,A Gray State ,First Run Features,, 
10011,2017-11-03,It Happened In L.A. ,The Orchard,, 
10012,2017-11-03,Ittefaq ,Red Chillies Entertainment,298032, 
10013,2017-11-03,Lady Bird ,A24,48958273,Play
10014,2017-11-03,Last Flag Flying ,Amazon Studios,965481, 
10015,2017-11-03,Most Beautiful Island ,Samuel Goldwyn Films,, 
10016,2017-11-03,My Friend Dahmer ,FilmRise,1361611, 
10017,2017-11-03,No Dress Code Required ,Strand,, 
10018,2017-11-03,On Wings of Eagles ,Archstone Entertainment,, 
10019,2017-11-03,Princess Cyd ,Wolfe Releasing,, 
10020,2017-11-03,Repatriation ,Indie Rights,, 
10021,2017-11-03,A River Below ,Self Distributed,, 
10022,2017-11-03,Singularity ,Vertical Entertainment,, 
10023,2017-11-03,Spaceship ,Breaking Glass Pictures,, 
10024,2017-11-03,Wait For Your Laugh ,Vitagraph Films,73585, 
10025,2017-11-04,6:66 P.M. ,Indican Pictures,, 
10026,2017-11-07,The Secret Life of Lance Letscher ,FilmRise,, 
10027,2017-11-08,Conor McGregor: Notorious ,Self Distributed,, 
10028,2017-11-08,Hello Again ,Screenvision Media,, 
10029,2017-11-10,Daddyâs Home 2 ,Paramount Pictures,104029443,Play
10030,2017-11-10,Murder on the Orient Express ,20th Century Fox,102826543,Play
10031,2017-11-10,Amanda & Jack Go Glamping ,Gravitas Ventures,, 
10032,2017-11-10,Art Show Bingo ,Indie Rights,, 
10033,2017-11-10,Bitch ,Dark Sky Films,, 
10034,2017-11-10,A Bride For Rip Van Winkle ,Eleven Arts,, 
10035,2017-11-10,The Price ,Samuel Goldwyn Films,, 
10036,2017-11-10,Destination Unknown ,Seventh Art Releasing,, 
10037,2017-11-10,A German Life ,Blackbox Film & Media,, 
10038,2017-11-10,Gold Star ,Self Distributed,, 
10039,2017-11-10,Heart Blackened ,CJ Entertainment,, 
10040,2017-11-10,Ichi The Killer: Definitive Remastered Edition ,Well Go USA,20285, 
10041,2017-11-10,"Intent to Destroy: Death, Denial & Depiction ",Abramorama Films,13194, 
10042,2017-11-10,Mayhem ,RLJ Entertainment,, 
10043,2017-11-10,No Greater Love ,Atlas Distribution,30531,Play
10044,2017-11-10,No Stone Unturned ,Abramorama Films,, 
10045,2017-11-10,Painted Woman ,Amor Media,10298, 
10046,2017-11-10,Pottersville ,Echo Bridge,, 
10047,2017-11-10,Qarib Qarib Singlle ,Zee Studios,, 
10048,2017-11-10,Requiem For A Running Back ,Hydro Studios,, 
10049,2017-11-10,Santa and Andres ,Breaking Glass Pictures,, 
10050,2017-11-10,Shakespeare Wallah ,Cohen Media Group,3577, 
10051,2017-11-10,Thelma ,The Orchard,147391, 
10052,2017-11-10,"Three Billboards Outside Ebbing, Missouri ",Fox Searchlight,54513740,Play
10053,2017-11-13,Genesis: Paradise Lost ,Fathom Events,, 
10054,2017-11-14,Zombies ,Broad Green Pictures,, 
10055,2017-11-15,A Dying King: The Shah of Iran ,Vision Films,, 
10056,2017-11-15,Rebels on Pointe ,Icarus Films,15088, 
10057,2017-11-15,Song of Granite ,Oscilloscope Pictures,16182, 
10058,2017-11-16,Tormenting The Hen ,Factory 25,, 
10059,2017-11-17,Justice League ,Warner Bros.,229024295,Play
10060,2017-11-17,The Star ,Sony Pictures,40847995,Play
10061,2017-11-17,Wonder ,Lionsgate,132422809,Play
10062,2017-11-17,Almost Friends ,Gravitas Ventures,, 
10063,2017-11-17,Angelica ,Entertainment Studios Motion Pictures,, 
10064,2017-11-17,Attack of the Killer Donuts ,Level 33,, 
10065,2017-11-17,On the Beach at Night Alone ,Cinema Guild,37489, 
10066,2017-11-17,Big Sonia ,Argot Pictures,160308, 
10067,2017-11-17,The Breadwinner ,GKIDS,312381, 
10068,2017-11-17,Cook Off! ,Lionsgate Premiere,, 
10069,2017-11-17,The Crime of Monsieur Lange ,Rialto Pictures,35601, 
10070,2017-11-17,Destined ,XLrator Media,, 
10071,2017-11-17,Holy Air ,Samuel Goldwyn Films,, 
10072,2017-11-17,Jim & Andy: The Great Beyond ,Netflix,, 
10073,2017-11-17,Mudbound ,Netflix,, 
10074,2017-11-17,Oasis ,Hollywood Independents,, 
10075,2017-11-17,Porto ,Kino Lorber,15626, 
10076,2017-11-17,Revolt ,Vertical Entertainment,, 
10077,2017-11-17,"Roman J. Israel, Esq. ",Sony Pictures,11962712,Play
10078,2017-11-17,Sweet Virginia ,IFC Films,11753, 
10079,2017-11-17,Wet Woman in the Wind ,MUBI,, 
10080,2017-11-18,Little B*tches ,Sony Pictures,, 
10081,2017-11-21,Le FidÃ¨le ,Mongrel Media,52951, 
10082,2017-11-22,Coco ,Walt Disney,209726015,Play
10083,2017-11-22,The Man Who Invented Christmas ,Bleecker Street,5676110,Play
10084,2017-11-22,Lady Bird ,A24,48958273,Play
10085,2017-11-22,"Roman J. Israel, Esq. ",Sony Pictures,11962712,Play
10086,2017-11-22,Darkest Hour ,Focus Features,56443120,Play
10087,2017-11-24,La Belle Noiseuse ,Cohen Media Group,, 
10088,2017-11-24,Bombshell: The Hedy Lamarr Story ,Zeitgeist,820300, 
10089,2017-11-24,Call Me by Your Name ,Sony Pictures Classics,18065180,Play
10090,2017-11-24,Eric Clapton: A Life in 12 Bars ,Abramorama Films,, 
10091,2017-11-24,Explosion ,China Lion Film Distribution,118384, 
10092,2017-11-24,The Passion of Joan of Arc ,Janus Films,21877, 
10093,2017-11-24,What Happened in Vegas ,Journeyman Pictures,, 
10094,2017-11-29,Naples â44 ,First Run Features,24616, 
10095,2017-11-30,A Bad Idea Gone Wrong ,Freestyle Releasing,, 
10096,2017-11-30,Remember Me ,The Orchard,, 
10097,2017-12-01,"Three Billboards Outside Ebbing, Missouri ",Fox Searchlight,54513740,Play
10098,2017-12-01,24 Hours to Live ,Saban Films,, 
10099,2017-12-01,32 Pills: My Sisterâs Suicide ,HBO Documentary Films,, 
10100,2017-12-01,Alien Invasion: S.U.M.1 ,Gravitas Ventures,, 
10101,2017-12-01,Another Wolfcop ,Parade Deck Films,, 
10102,2017-12-01,Badsville ,Epic Pictures Group,4153, 
10103,2017-12-01,Big Time ,Abramorama Films,7347, 
10104,2017-12-01,Breaking Brooklyn ,Self Distributed,, 
10105,2017-12-01,Brotherhood of Blades 2 ,Well Go USA,14204, 
10106,2017-12-01,Daisy Winters ,Hannover House,,Play
10107,2017-12-01,The Dancer ,Myriad Entertainment Group,, 
10108,2017-12-01,The Disaster Artist ,A24,21120616,Play
10109,2017-12-01,Drawing Home ,Self Distributed,, 
10110,2017-12-01,Gangster Land ,Cinedigm,, 
10111,2017-12-01,Gold ,Sony Pictures,5539, 
10112,2017-12-01,Inoperable ,Zorya Films,, 
10113,2017-12-01,Keplerâs Dream ,Self Distributed,, 
10114,2017-12-01,Love Beats Rhymes ,Lionsgate,, 
10115,2017-12-01,The New Radical ,The Orchard,, 
10116,2017-12-01,The Other Side of Hope ,Janus Films,184090, 
10117,2017-12-01,Psychopaths ,Samuel Goldwyn Films,, 
10118,2017-12-01,Quest ,First Run Features,47807, 
10119,2017-12-01,Shadowman ,Film Movement,13498, 
10120,2017-12-01,The Shape of Water ,Fox Searchlight,63859435,Play
10121,2017-12-01,Slumber ,Vertical Entertainment,, 
10122,2017-12-01,The Swindlers ,Well Go USA,241916, 
10123,2017-12-01,Thrill Ride ,Gravitas Ventures,2226, 
10124,2017-12-01,Titanic ,Paramount Pictures,659363944,Play
10125,2017-12-01,The Tribes of Palos Verdes ,IFC Films,11603, 
10126,2017-12-01,Women in Love ,Park Circus,, 
10127,2017-12-01,Wonder Wheel ,Amazon Studios,1403237,Play
10128,2017-12-01,Dunkirk ,Warner Bros.,190068280,Play
10129,2017-12-08,Just Getting Started ,Broad Green Pictures,6069605,Play
10130,2017-12-08,The Disaster Artist ,A24,21120616,Play
10131,2017-12-08,And The Winner Isnât ,Self Distributed,, 
10132,2017-12-08,Bullet Head ,Saban Films,, 
10133,2017-12-08,Cinderella The Cat ,Self Distributed,, 
10134,2017-12-08,From The Ground Up ,Self Distributed,, 
10135,2017-12-08,Fukrey Returns ,Zee Studios,, 
10136,2017-12-08,Hollow in the Land ,Vertical Entertainment,, 
10137,2017-12-08,I am Evidence ,HBO Documentary Films,, 
10138,2017-12-08,"I, Tonya ",Neon,30014534, 
10139,2017-12-08,Kaleidoscope ,IFC Midnight,, 
10140,2017-12-08,November Criminals ,Sony Pictures,, 
10141,2017-12-08,The Pirates Of Somalia ,Echo Bridge,, 
10142,2017-12-08,The Rape of Recy Taylor ,Self Distributed,, 
10143,2017-12-12,Apache Warrior ,Self Distributed,, 
10144,2017-12-12,A Murder in Mansfield ,Self Distributed,, 
10145,2017-12-13,Miss Kietâs Children ,Icarus Films,, 
10146,2017-12-13,Bright ,Netflix,, 
10147,2017-12-15,Ferdinand ,20th Century Fox,84410380,Play
10148,2017-12-15,Star Wars Ep. VIII: The Last Jedi ,Walt Disney,620181382,Play
10149,2017-12-15,The Ballad of Lefty Brown ,A24,7856,Play
10150,2017-12-15,Beyond Skyline ,Vertical Entertainment,, 
10151,2017-12-15,Desolation ,IFC Films,, 
10152,2017-12-15,Killing For Love ,IFC Films,, 
10153,2017-12-15,Permanent ,Magnolia Pictures,12847, 
